FIPS,State,Population,White
1,Alabama,4874747,3312718
2,Alaska,739795,474856
4,Arizona,7016270,5442417
5,Arkansas,3004279,2293307
6,California,39536653,23181769
8,Colorado,5607154,4720495
9,Connecticut,3588184,2723013
10,Delaware,961939,662084
12,Florida,20984400,15768315
13,Georgia,10429379,6122956
15,Hawaii,1427538,357113
16,Idaho,1716943,1546011
17,Illinois,12802023,9119912
18,Indiana,6666818,5577897
19,Iowa,3145711,2831066
20,Kansas,2913123,2462215
21,Kentucky,4454189,3872670
22,Louisiana,4684333,2890818
23,Maine,1335907,1261611
24,Maryland,6052177,3322483
25,Massachusetts,6859819,5387411
26,Michigan,9962311,7814775
27,Minnesota,5576606,4610465
28,Mississippi,2984100,1735887
29,Missouri,6113532,5013597
30,Montana,1050493,930548
31,Nebraska,1920076,1677092
32,Nevada,2998039,1936859
33,New Hampshire,1342795,1249751
34,New Jersey,9005644,6112238
35,New Mexico,2088070,1582020
36,New York,19849399,12523357
37,North Carolina,10273419,7066745
38,North Dakota,755393,654116
39,Ohio,11658609,9480074
40,Oklahoma,3930864,2837492
41,Oregon,4142776,3497242
42,Pennsylvania,12805537,10339488
44,Rhode Island,1059639,866258
45,South Carolina,5024369,3380219
46,South Dakota,869666,736581
47,Tennessee,6715984,5221591
48,Texas,28304596,20929140
49,Utah,3101833,2657013
50,Vermont,623657,587265
51,Virginia,8470020,5714699
53,Washington,7405743,5582361
54,West Virginia,1815857,1684321
55,Wisconsin,5795483,4942176
56,Wyoming,579315,528414