State,2018,2020,2022
Alabama,,Doug Jones (D),Richard Shelby (R)
Alaska,,Dan Sullivan (R),Lisa Murkowski (R)
Arizona,,—,Jon Kyl (R)
Arkansas,,Tom Cotton (R),John Boozman (R)
California,,—,Kamala Harris (D)
Colorado,,Cory Gardner (R),Michael Bennet (D)
Connecticut,,—,Richard Blumenthal (D)
Delaware,,Chris Coons (D),—
Florida,,—,Marco Rubio (R)
Georgia,,David Perdue (R),Johnny Isakson (R)
Hawaii,,—,Brian Schatz (D)
Idaho,,Jim Risch (R),Mike Crapo (R)
Illinois,,Dick Durbin (D),Tammy Duckworth (D)
Indiana,,—,Todd Young (R)
Iowa,,Joni Ernst (R),Chuck Grassley (R)
Kansas,,Pat Roberts (R),Jerry Moran (R)
Kentucky,,Mitch McConnell (R),Rand Paul (R)
Louisiana,,Bill Cassidy (R),John Kennedy (R)
Maine,,Susan Collins (R),—
Maryland,,—,Chris Van Hollen (D)
Massachusetts,,Ed Markey (D),—
Michigan,,Gary Peters (D),—
Minnesota,,Tina Smith (D),—
Mississippi,,Cindy Hyde-Smith (R),—
Missouri,,—,Roy Blunt (R)
Montana,,Steve Daines (R),—
Nebraska,,Ben Sasse (R),—
Nevada,,—,Catherine Cortez Masto (D)
New Hampshire,,Jeanne Shaheen (D),Maggie Hassan (D)
New Jersey,,Cory Booker (D),—
New Mexico,,Tom Udall (D),—
New York,,—,Chuck Schumer (D)
North Carolina,,Thom Tillis (R),Richard Burr (R)
North Dakota,,—,John Hoeven (R)
Ohio,,—,Rob Portman (R)
Oklahoma,,Jim Inhofe (R),James Lankford (R)
Oregon,,Jeff Merkley (D),Ron Wyden (D)
Pennsylvania,,—,Pat Toomey (R)
Rhode Island,,Jack Reed (D),—
South Carolina,,Lindsey Graham (R),Tim Scott (R)
South Dakota,,Mike Rounds (R),John Thune (R)
Tennessee,,Lamar Alexander (R),—
Texas,,John Cornyn (R),—
Utah,,—,Mike Lee (R)
Vermont,,—,Patrick Leahy (D)
Virginia,,Mark Warner (D),—
Washington,,—,Patty Murray (D)
West Virginia,,Shelley Moore Capito (R),—
Wisconsin,,—,Ron Johnson (R)
Wyoming,,Mike Enzi (R),—